# x y r lon
0.950000 0.000000 0.950000 0.000000
0.950000 0.000073 0.950000 0.000077
0.950000 0.000146 0.950000 0.000154
0.950000 0.000219 0.950000 0.000230
0.950000 0.000292 0.950000 0.000307
0.950000 0.000365 0.950000 0.000384
0.950000 0.000438 0.950001 0.000461
0.950001 0.000510 0.950001 0.000537
0.950001 0.000583 0.950001 0.000614
0.950001 0.000656 0.950001 0.000691
0.950001 0.000729 0.950001 0.000768
0.950001 0.000802 0.950002 0.000844
0.950002 0.000875 0.950002 0.000921
0.950002 0.000948 0.950002 0.000998
0.950002 0.001021 0.950003 0.001075
0.950003 0.001094 0.950003 0.001151
0.950003 0.001167 0.950004 0.001228
0.950003 0.001240 0.950004 0.001305
0.950004 0.001313 0.950005 0.001382
0.950004 0.001385 0.950005 0.001458
0.950005 0.001458 0.950006 0.001535
0.950005 0.001531 0.950007 0.001612
0.950006 0.001604 0.950007 0.001689
0.950006 0.001677 0.950008 0.001765
0.950007 0.001750 0.950009 0.001842
0.950007 0.001823 0.950009 0.001919
0.950008 0.001896 0.950010 0.001996
0.950009 0.001969 0.950011 0.002072
0.950009 0.002042 0.950012 0.002149
0.950010 0.002115 0.950012 0.002226
0.950011 0.002187 0.950013 0.002302
0.950012 0.002260 0.950014 0.002379
0.950012 0.002333 0.950015 0.002456
0.950013 0.002406 0.950016 0.002533
0.950014 0.002479 0.950017 0.002609
0.950015 0.002552 0.950018 0.002686
0.950016 0.002625 0.950019 0.002763
0.950016 0.002698 0.950020 0.002840
0.950017 0.002771 0.950021 0.002916
0.950018 0.002843 0.950022 0.002993
0.950019 0.002916 0.950024 0.003070
0.950020 0.002989 0.950025 0.003146
0.950021 0.003062 0.950026 0.003223
0.950022 0.003135 0.950027 0.003300
0.950023 0.003208 0.950029 0.003377
0.950024 0.003281 0.950030 0.003453
0.950025 0.003354 0.950031 0.003530
0.950026 0.003427 0.950033 0.003607
0.950028 0.003499 0.950034 0.003683
0.950029 0.003572 0.950035 0.003760
0.950030 0.003645 0.950037 0.003837
0.950031 0.003718 0.950038 0.003914
0.950032 0.003791 0.950040 0.003990
0.950034 0.003864 0.950042 0.004067
0.950035 0.003937 0.950043 0.004144
0.950036 0.004009 0.950045 0.004220
0.950038 0.004082 0.950046 0.004297
0.950039 0.004155 0.950048 0.004374
0.950040 0.004228 0.950050 0.004450
0.950042 0.004301 0.950051 0.004527
0.950043 0.004374 0.950053 0.004604
0.950045 0.004447 0.950055 0.004680
0.950046 0.004519 0.950057 0.004757
0.950048 0.004592 0.950059 0.004834
0.950049 0.004665 0.950061 0.004910
0.950051 0.004738 0.950062 0.004987
0.950052 0.004811 0.950064 0.005064
0.950054 0.004884 0.950066 0.005140
0.950055 0.004956 0.950068 0.005217
0.950057 0.005029 0.950070 0.005294
0.950059 0.005102 0.950072 0.005370
0.950060 0.005175 0.950074 0.005447
0.950062 0.005248 0.950077 0.005523
0.950064 0.005320 0.950079 0.005600
0.950066 0.005393 0.950081 0.005677
0.950067 0.005466 0.950083 0.005753
0.950069 0.005539 0.950085 0.005830
0.950071 0.005612 0.950088 0.005906
0.950073 0.005684 0.950090 0.005983
0.950075 0.005757 0.950092 0.006060
0.950077 0.005830 0.950095 0.006136
0.950079 0.005903 0.950097 0.006213
0.950081 0.005976 0.950099 0.006289
0.950083 0.006048 0.950102 0.006366
0.950085 0.006121 0.950104 0.006443
0.950087 0.006194 0.950107 0.006519
0.950089 0.006267 0.950109 0.006596
0.950091 0.006339 0.950112 0.006672
0.950093 0.006412 0.950114 0.006749
0.950095 0.006485 0.950117 0.006826
0.950097 0.006558 0.950120 0.006902
0.950099 0.006630 0.950122 0.006979
0.950101 0.006703 0.950125 0.007055
0.950104 0.006776 0.950128 0.007132
0.950106 0.006849 0.950131 0.007208
0.950108 0.006921 0.950133 0.007285
0.950110 0.006994 0.950136 0.007361
0.950113 0.007067 0.950139 0.007438
0.950115 0.007140 0.950142 0.007514
0.950117 0.007212 0.950145 0.007591
0.950120 0.007285 0.950148 0.007667
0.950122 0.007358 0.950151 0.007744
0.950125 0.007430 0.950154 0.007820
0.950127 0.007503 0.950157 0.007897
0.950130 0.007576 0.950160 0.007973
0.950132 0.007649 0.950163 0.008050
0.950135 0.007721 0.950166 0.008126
0.950137 0.007794 0.950169 0.008203
0.950140 0.007867 0.950172 0.008279
0.950142 0.007939 0.950175 0.008356
0.950145 0.008012 0.950179 0.008432
0.950148 0.008085 0.950182 0.008509
0.950150 0.008157 0.950185 0.008585
0.950153 0.008230 0.950189 0.008661
0.950156 0.008303 0.950192 0.008738
0.950158 0.008375 0.950195 0.008814
0.950161 0.008448 0.950199 0.008891
0.950164 0.008521 0.950202 0.008967
0.950167 0.008593 0.950206 0.009044
0.950170 0.008666 0.950209 0.009120
0.950172 0.008738 0.950213 0.009196
0.950175 0.008811 0.950216 0.009273
0.950178 0.008884 0.950220 0.009349
0.950181 0.008956 0.950223 0.009426
0.950184 0.009029 0.950227 0.009502
0.950187 0.009101 0.950231 0.009578
0.950190 0.009174 0.950234 0.009655
0.950193 0.009247 0.950238 0.009731
0.950196 0.009319 0.950242 0.009807
0.950199 0.009392 0.950246 0.009884
0.950202 0.009464 0.950249 0.009960
0.950205 0.009537 0.950253 0.010036
0.950209 0.009610 0.950257 0.010113
0.950212 0.009682 0.950261 0.010189
0.950215 0.009755 0.950265 0.010265
